#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2009 01 02 01 50 352  3.2  4.4  1.95 10.00  6.99 270 1002.5   5.4   8.2 999.0 99.0 99.00
2009 01 02 02 20  18  3.4  4.3 99.00 99.00 99.00 999 1002.2   5.0   8.2 999.0 99.0 99.00
2009 01 02 02 50  21  3.6  4.8  2.03  9.09  7.42 247 1002.5   4.8   8.1 999.0 99.0 99.00
2009 01 02 03 20   7  3.6  4.4 99.00 99.00 99.00 999 1002.4   4.9   8.1 999.0 99.0 99.00
2009 01 02 03 50  24  2.8  3.8  2.12  9.09  7.82 245 1001.9   4.8   8.1 999.0 99.0 99.00
2009 01 02 04 20  47  1.6  2.8 99.00 99.00 99.00 999 1001.7   4.4   8.1 999.0 99.0 99.00
2009 01 02 04 50  60  2.8  4.1  1.94  8.33  7.74 219 1001.4   4.6   8.1 999.0 99.0 99.00
2009 01 02 05 20  70  2.7  3.8 99.00 99.00 99.00 999 1001.3   4.2   8.0 999.0 99.0 99.00
2009 01 02 05 50  64  3.0  4.5  1.94  9.09  7.70 223 1000.8   4.2   8.0 999.0 99.0 99.00
2009 01 02 06 20  66  1.5  2.3 99.00 99.00 99.00 999 1001.0   4.0   7.9 999.0 99.0 99.00
2009 01 02 06 50  52  2.4  3.7  2.11  9.09  8.01 238 1000.9   3.9   8.0 999.0 99.0 99.00
2009 01 02 07 20  32  3.7  5.4 99.00 99.00 99.00 999 1000.2   4.1   8.1 999.0 99.0 99.00
2009 01 02 07 50  12  4.7  6.4  2.31  8.33  8.09 248 1000.2   4.1   8.1 999.0 99.0 99.00
2009 01 02 08 20  20  4.8  7.2 99.00 99.00 99.00 999  999.6   3.8   8.1 999.0 99.0 99.00
2009 01 02 08 50   7  5.3  6.6  1.98  9.09  7.48 249  999.8   3.7   8.1 999.0 99.0 99.00
2009 01 02 09 20 352  5.7  7.1 99.00 99.00 99.00 999 1000.0   3.4   8.1 999.0 99.0 99.00
2009 01 02 09 50 351  5.4  6.4  2.11  9.09  7.38 255 1000.6   3.1   8.0 999.0 99.0 99.00
2009 01 02 10 20  17  6.2  7.6 99.00 99.00 99.00 999 1000.7   3.1   8.0 999.0 99.0 99.00
2009 01 02 10 50  19  4.8  6.2  2.05  9.09  7.43 261 1001.2   3.1   7.9 999.0 99.0 99.00
2009 01 02 11 20   3  4.3  5.4 99.00 99.00 99.00 999 1001.6   2.7   7.9 999.0 99.0 99.00
2009 01 02 11 50 345  5.2  6.3  1.75  9.09  7.41 258 1001.9   3.2   7.9 999.0 99.0 99.00
2009 01 02 12 20 343  5.6  6.8 99.00 99.00 99.00 999 1002.3   3.4   7.9 999.0 99.0 99.00
2009 01 02 12 50 340  5.2  6.2  1.84  9.09  7.08 250 1002.7   3.2   7.8 999.0 99.0 99.00
2009 01 02 13 20 341  4.6  5.6 99.00 99.00 99.00 999 1003.0   3.2   7.8 999.0 99.0 99.00
2009 01 02 13 50 360  3.8  5.1  1.65  9.09  6.94 268 1003.5   2.4   7.7 999.0 99.0 99.00
2009 01 02 14 20   7  2.4  3.5 99.00 99.00 99.00 999 1004.1   2.1   7.8 999.0 99.0 99.00
2009 01 02 14 50 349  2.4  3.1  1.62  9.09  7.17 263 1004.6   2.3   8.0 999.0 99.0 99.00
2009 01 02 15 20 318  1.8  3.5 99.00 99.00 99.00 999 1005.1   2.4   8.0 999.0 99.0 99.00
2009 01 02 15 50 340  2.3  4.1  1.78  9.09  6.97 257 1005.6   2.4   8.0 999.0 99.0 99.00
2009 01 02 16 20 349  2.8  4.1 99.00 99.00 99.00 999 1006.3   2.5   8.0 999.0 99.0 99.00
2009 01 02 16 50  35  1.1  2.2  1.73 10.00  6.62 254 1007.1   2.2   7.8 999.0 99.0 99.00
2009 01 02 17 20 359  2.0  4.7 99.00 99.00 99.00 999 1007.9   2.6   7.7 999.0 99.0 99.00
2009 01 02 17 50  68  3.0  4.2  1.75  9.09  7.00 263 1008.7   2.2   7.5 999.0 99.0 99.00
2009 01 02 18 20   8  0.6  2.3 99.00 99.00 99.00 999 1009.5   2.6   7.5 999.0 99.0 99.00
2009 01 02 18 50 355  0.6  2.0  1.84  9.09  6.93 260 1010.0   2.7   7.5 999.0 99.0 99.00
2009 01 02 19 20 321  2.9  4.1 99.00 99.00 99.00 999 1010.4   2.7   7.6 999.0 99.0 99.00
